Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;;Querkräfte [kN/m];;Normalkräfte [kN/m];;;
124;1;0.650;-0.350;-3.386;4.32;-0.40;87.76;4.15;14.47;179.88;118.15;-39.45;66.43;109.82
;;;;;-1.47;-8.43;-89.42;0.67;1.48;-142.47;-49.83;-249.03;-69.88;18.44
125;1;0.650;-0.450;-3.407;4.21;-0.25;89.72;3.27;8.55;157.74;119.69;-32.82;66.35;107.69
;;;;;-2.10;-7.43;-88.30;0.55;1.15;-142.83;-53.89;-255.52;-51.20;19.19
126;1;0.650;-0.550;-3.428;4.11;-0.25;89.90;2.70;5.17;159.58;119.92;-36.46;66.15;102.41
;;;;;-1.96;-6.58;-89.38;0.56;0.68;-160.03;-59.34;-252.15;-27.87;20.27
127;1;0.650;-0.650;-3.449;4.01;-0.14;89.69;2.36;4.60;157.75;119.33;-24.41;65.71;95.46
;;;;;-1.77;-5.87;-89.71;0.52;0.47;-151.86;-65.56;-246.12;-16.70;28.34
128;1;0.650;-0.750;-3.470;3.87;0.13;89.96;2.14;4.15;161.42;117.98;-23.01;64.97;87.56
;;;;;-1.51;-5.27;-89.75;0.47;0.47;-160.47;-71.53;-237.89;-12.01;26.46
129;1;0.650;-0.850;-3.490;3.58;0.13;89.54;1.90;2.72;162.70;116.25;-30.49;63.73;78.90
;;;;;-1.25;-4.59;-89.14;0.41;0.40;-170.34;-76.94;-227.61;-12.21;23.30
130;1;0.650;-0.950;-3.511;3.36;0.12;89.24;1.76;3.21;153.33;114.55;-29.80;62.14;85.40
;;;;;-1.03;-4.08;-88.53;0.36;0.50;-171.23;-81.15;-217.80;-12.65;21.00
131;1;0.650;-1.050;-3.532;3.06;0.09;89.44;1.63;4.19;171.69;113.03;-28.77;59.78;96.55
;;;;;-0.82;-3.55;-89.94;0.29;0.69;-179.88;-84.02;-208.04;-12.74;19.61
132;1;0.650;-1.150;-3.553;2.77;-0.17;75.34;1.53;4.82;161.65;111.83;29.11;56.72;108.06
;;;;;-0.60;-3.08;-89.33;0.26;0.86;-178.20;-84.91;-199.16;-12.92;23.16
133;1;0.650;-1.250;-3.574;2.45;-0.15;80.65;1.44;5.07;174.86;111.34;33.40;53.00;119.62
;;;;;-0.42;-2.64;-87.51;0.24;0.93;-178.10;-83.52;-191.72;-19.39;23.03
134;1;0.650;-1.350;-3.595;2.16;-0.13;85.56;1.38;4.94;168.80;116.94;38.04;48.93;130.99
;;;;;-0.23;-2.25;-86.51;0.22;0.94;-178.69;-80.21;-186.75;-25.79;21.83
135;1;0.650;-1.450;-3.616;1.88;-0.20;87.00;1.33;4.64;178.59;126.91;38.46;44.91;141.71
;;;;;-0.19;-1.91;-84.95;0.21;0.92;-178.39;-75.92;-182.87;-31.62;21.62
136;1;0.650;-1.550;-3.637;1.60;-0.17;89.38;1.29;4.25;174.10;135.34;37.16;41.29;151.37
;;;;;-0.14;-1.58;-83.44;0.19;0.90;-170.83;-70.56;-179.60;-37.23;20.44
137;1;0.650;-1.650;-3.658;1.31;-0.13;89.40;1.23;3.90;174.56;141.65;34.45;38.30;159.47
;;;;;-0.09;-1.52;-88.61;0.26;1.06;-175.17;-64.28;-178.61;-70.62;19.19
138;1;0.650;-1.750;-3.679;1.53;-0.16;89.99;1.19;3.72;168.82;145.06;30.81;35.95;165.55
;;;;;-0.06;-1.43;-89.89;0.17;0.80;-178.99;-57.86;-187.37;-72.11;17.85
139;1;0.650;-1.850;-3.700;1.84;-0.21;18.80;1.33;3.81;178.42;145.37;25.72;34.15;169.75
;;;;;-0.06;-1.48;-88.13;0.15;0.82;-178.71;-51.65;-195.51;-71.42;16.45
140;1;0.650;-1.950;-3.721;2.18;-0.26;17.79;1.50;4.90;178.37;141.80;20.94;32.81;171.83
;;;;;-0.12;-1.66;-86.70;0.16;0.74;-176.36;-45.79;-203.30;-69.73;15.03
141;1;0.750;-0.050;-3.348;5.01;-0.76;87.20;5.80;39.13;152.50;105.51;-61.95;79.93;155.88
;;;;;0.48;-7.26;-87.48;1.00;7.33;-109.75;-53.65;-268.40;-82.01;29.36
142;1;0.750;-0.150;-3.368;4.77;-0.50;89.66;6.27;22.78;177.99;96.03;-55.03;85.07;133.45
;;;;;-0.49;-8.77;-89.08;0.79;3.05;-176.63;-52.22;-245.71;-81.95;27.71
143;1;0.750;-0.250;-3.388;3.95;-0.33;89.70;4.80;18.86;155.33;106.27;-44.63;64.72;116.47
;;;;;-0.97;-8.05;-89.49;0.68;0.90;-169.88;-49.47;-237.06;-73.72;22.57
144;1;0.750;-0.350;-3.409;3.90;-0.24;89.99;3.65;11.85;176.73;112.52;-36.45;65.10;108.40
;;;;;-1.28;-7.17;-89.35;0.56;0.48;-159.64;-52.74;-231.37;-63.91;17.23
145;1;0.750;-0.450;-3.429;3.86;-0.16;89.55;2.93;7.09;150.58;116.07;-30.40;65.21;98.88
;;;;;-1.46;-6.48;-90.00;0.47;0.45;-153.60;-58.04;-239.50;-48.06;18.73
146;1;0.750;-0.550;-3.449;3.78;0.17;87.78;2.43;4.31;146.10;117.91;-25.41;65.10;91.92
;;;;;-1.51;-5.79;-89.70;0.40;0.42;-176.91;-64.31;-238.20;-30.64;18.61
147;1;0.750;-0.650;-3.470;3.69;0.19;89.83;2.06;3.89;141.81;118.41;-22.79;64.75;85.76
;;;;;-1.45;-5.25;-89.99;0.50;0.39;-175.04;-70.88;-233.74;-20.10;25.10
148;1;0.750;-0.750;-3.490;3.48;0.21;89.98;1.82;2.56;136.56;118.05;-21.52;63.98;78.19
;;;;;-1.29;-4.64;-89.96;0.40;0.29;-153.45;-77.56;-226.54;-14.54;25.29
149;1;0.750;-0.850;-3.510;3.29;0.20;88.94;1.70;2.87;160.64;117.25;-24.05;62.94;73.67
;;;;;-1.14;-4.15;-89.90;0.37;0.39;-169.58;-83.44;-218.15;-10.23;23.49
150;1;0.750;-0.950;-3.530;3.04;0.15;87.79;1.58;4.00;173.59;116.20;-28.41;61.22;84.52
;;;;;-0.98;-3.64;-89.04;0.33;0.71;-178.33;-88.49;-209.02;-10.79;23.64
151;1;0.750;-1.050;-3.551;2.75;0.07;88.61;1.47;4.80;176.00;115.10;31.44;58.81;95.81
;;;;;-0.81;-3.16;-89.51;0.26;0.81;-175.07;-91.67;-199.71;-10.90;20.10
152;1;0.750;-1.150;-3.571;2.47;-0.15;89.67;1.38;5.09;179.88;114.39;37.80;55.64;107.40
;;;;;-0.62;-2.72;-86.98;0.24;0.97;-170.73;-92.76;-191.26;-11.52;22.32
153;1;0.750;-1.250;-3.591;2.17;-0.15;89.85;1.30;5.04;179.88;114.27;40.14;51.88;119.01
;;;;;-0.47;-2.31;-89.63;0.22;0.97;-178.82;-91.35;-184.13;-18.92;21.35
154;1;0.750;-1.350;-3.612;1.88;-0.13;79.28;1.23;4.74;175.94;122.40;42.31;47.86;130.16
;;;;;-0.27;-1.93;-88.74;0.20;0.91;-174.37;-87.65;-179.35;-26.54;20.27
155;1;0.750;-1.450;-3.632;1.61;-0.19;81.12;1.18;4.38;178.49;130.75;42.82;43.99;140.62
;;;;;-0.21;-1.61;-86.72;0.18;0.89;-168.32;-83.22;-175.86;-32.70;20.76
156;1;0.750;-1.550;-3.652;1.35;-0.16;83.72;1.13;4.02;168.97;137.24;41.77;45.64;150.04
;;;;;-0.19;-1.58;-85.26;0.18;0.85;-173.51;-77.40;-172.98;-37.02;19.71
157;1;0.750;-1.650;-3.673;1.33;-0.16;85.92;1.18;3.80;178.46;141.11;39.39;73.42;157.83
;;;;;-0.15;-1.57;-83.83;0.17;0.83;-177.85;-70.71;-174.99;-46.81;18.59
158;1;0.750;-1.750;-3.693;1.61;-0.20;87.76;1.32;3.80;179.12;142.33;36.19;88.09;164.01
;;;;;-0.11;-1.52;-82.41;0.15;0.83;-177.69;-64.13;-186.01;-58.23;17.41
159;1;0.750;-1.850;-3.713;1.89;-0.25;89.29;1.46;3.70;176.25;140.16;32.26;33.74;168.20
;;;;;-0.17;-1.44;-81.15;0.13;0.83;-179.66;-57.81;-196.46;-84.85;16.16
160;1;0.750;-1.950;-3.734;2.20;-0.30;89.78;1.63;4.31;176.99;133.48;27.67;32.43;169.93
;;;;;-0.23;-1.62;-89.20;0.16;0.72;-178.24;-51.82;-206.51;-79.79;14.89
161;1;0.850;-0.050;-3.372;4.70;-0.59;88.82;5.37;28.17;153.14;110.10;-56.39;82.87;146.39
;;;;;0.68;-6.58;-80.01;0.76;4.67;-120.66;-46.79;-258.17;-85.01;27.19
162;1;0.850;-0.150;-3.392;3.93;-0.40;88.78;5.44;20.06;178.36;93.61;-51.68;63.92;122.03
;;;;;0.71;-7.31;-84.40;0.67;0.68;-173.22;-47.10;-239.94;-87.67;25.82
163;1;0.850;-0.250;-3.412;3.49;-0.24;89.53;4.16;15.55;177.11;95.10;-41.58;62.75;113.22
;;;;;0.54;-6.78;-46.18;0.58;0.49;-167.83;-49.80;-231.16;-67.84;20.35
164;1;0.850;-0.350;-3.431;3.53;-0.16;89.51;3.23;9.91;176.87;103.31;-33.92;63.61;105.77
;;;;;-0.42;-6.20;-85.20;0.48;0.27;-141.39;-54.54;-219.07;-59.08;17.69
165;1;0.850;-0.450;-3.451;3.54;0.13;89.25;2.63;6.12;142.38;108.68;-28.40;64.04;97.24
;;;;;-1.01;-5.65;-41.67;0.41;0.17;-172.43;-60.79;-225.19;-46.69;17.28
166;1;0.850;-0.550;-3.471;3.48;0.25;89.01;2.21;3.90;135.87;111.85;-23.90;64.19;87.50
;;;;;-1.14;-5.14;-83.37;0.35;0.24;-170.44;-67.42;-225.40;-33.60;18.32
167;1;0.850;-0.650;-3.490;3.29;0.26;89.60;1.83;2.64;125.70;113.45;-21.33;63.90;78.08
;;;;;-1.14;-4.55;-89.84;0.38;0.15;-159.60;-74.48;-221.79;-23.79;21.70
168;1;0.850;-0.750;-3.510;3.17;0.26;89.80;1.63;2.99;154.01;114.18;-20.32;63.42;70.61
;;;;;-1.09;-4.13;-88.61;0.41;0.38;-156.99;-81.66;-216.43;-17.60;20.43
169;1;0.850;-0.850;-3.530;2.95;0.22;89.86;1.51;3.99;170.10;114.23;19.69;62.29;73.22
;;;;;-1.00;-3.64;-89.97;0.37;0.56;-116.08;-88.38;-208.68;-12.70;20.87
170;1;0.850;-0.950;-3.550;2.72;0.15;89.99;1.42;4.81;164.78;113.89;29.60;60.50;83.51
;;;;;-0.89;-3.20;-89.66;0.37;0.83;-117.69;-93.92;-200.00;-11.20;21.35
171;1;0.850;-1.050;-3.569;2.46;0.07;88.32;1.33;5.13;171.72;113.51;37.89;57.89;94.87
;;;;;-0.76;-2.77;-89.25;0.27;1.00;-159.18;-97.61;-191.03;-9.23;19.53
172;1;0.850;-1.150;-3.589;2.18;-0.15;88.79;1.25;5.06;176.94;113.31;43.94;54.50;106.21
;;;;;-0.61;-2.36;-86.60;0.25;1.10;-168.27;-99.06;-182.60;-8.93;20.81
173;1;0.850;-1.250;-3.609;1.90;-0.14;88.86;1.18;4.81;176.65;117.37;47.72;50.56;117.39
;;;;;-0.50;-1.98;-89.48;0.20;0.95;-174.00;-97.57;-175.41;-17.57;19.96
174;1;0.850;-1.350;-3.628;1.62;-0.13;89.89;1.10;4.49;175.53;125.48;49.31;46.46;128.08
;;;;;-0.28;-1.63;-80.58;0.19;0.91;-178.27;-93.76;-170.26;-27.06;19.03
175;1;0.850;-1.450;-3.648;1.36;-0.13;76.61;1.05;4.15;178.28;132.13;48.54;42.58;138.06
;;;;;-0.27;-1.53;-89.73;0.17;0.88;-176.67;-89.09;-166.91;-33.89;18.04
176;1;0.850;-1.550;-3.668;1.17;-0.16;79.24;1.18;3.79;175.17;136.58;47.28;44.87;146.92
;;;;;-0.24;-1.60;-87.76;0.16;0.85;-176.78;-82.90;-164.19;-38.25;20.51
177;1;0.850;-1.650;-3.687;1.42;-0.19;81.48;1.30;3.81;179.37;138.68;44.87;57.60;154.45
;;;;;-0.21;-1.61;-86.32;0.14;0.84;-179.58;-76.03;-170.21;-41.01;18.12
178;1;0.850;-1.750;-3.707;1.68;-0.23;83.40;1.43;3.78;175.71;138.10;41.74;70.00;160.47
;;;;;-0.20;-1.59;-84.89;0.13;0.84;-179.96;-69.33;-182.85;-70.25;17.09
179;1;0.850;-1.850;-3.727;1.95;-0.29;84.39;1.59;3.61;177.63;133.72;37.91;79.76;164.45
;;;;;-0.27;-1.51;-83.60;0.15;0.83;-175.61;-62.89;-195.18;-73.14;15.88
180;1;0.850;-1.950;-3.746;2.23;-0.34;85.96;1.75;3.74;178.94;124.26;33.44;87.56;165.70
;;;;;-0.33;-1.58;-82.54;0.17;0.70;-173.15;-56.74;-207.13;-71.54;14.46
181;1;0.950;-0.050;-3.397;4.45;-0.43;87.58;4.89;19.93;153.67;115.37;-52.36;87.61;137.48
;;;;;0.78;-5.89;-47.31;0.74;3.71;-100.55;-40.69;-249.05;-76.11;25.13
182;1;0.950;-0.150;-3.416;3.34;-0.35;88.54;4.67;17.51;174.56;101.83;-48.67;61.41;114.46
;;;;;0.80;-6.19;-88.45;0.58;1.24;-178.83;-44.55;-233.68;-77.13;23.94
183;1;0.950;-0.250;-3.435;3.12;-0.18;88.77;3.60;12.91;164.65;91.78;-38.97;60.40;109.19
;;;;;0.62;-5.77;-84.87;0.49;0.48;-173.10;-48.89;-225.22;-63.57;19.34
184;1;0.950;-0.350;-3.454;3.20;-0.07;88.31;2.85;8.45;162.45;91.83;-31.87;61.86;102.44
;;;;;-0.29;-5.34;-85.75;0.42;0.44;-160.86;-54.77;-213.67;-55.93;16.54
185;1;0.950;-0.450;-3.473;3.23;0.23;87.71;2.37;5.57;143.57;98.49;-26.76;62.78;94.46
;;;;;-0.70;-4.95;-37.60;0.36;0.24;-161.48;-61.49;-212.25;-46.39;15.86
186;1;0.950;-0.550;-3.492;3.09;0.23;88.76;1.95;3.48;155.04;102.92;-22.69;63.18;85.80
;;;;;-0.84;-4.41;-34.68;0.33;0.17;-130.68;-68.49;-213.64;-36.51;16.28
187;1;0.950;-0.650;-3.511;3.00;0.26;89.08;1.67;3.46;173.84;105.87;-20.22;63.35;76.76
;;;;;-0.90;-4.02;-74.93;0.41;0.36;-176.35;-76.23;-211.89;-27.80;18.89
188;1;0.950;-0.750;-3.530;2.84;0.24;88.73;1.46;4.13;124.58;107.60;-19.32;62.90;67.94
;;;;;-0.89;-3.60;-89.23;0.37;0.66;-79.30;-84.13;-207.32;-21.10;17.92
189;1;0.950;-0.850;-3.550;2.64;0.19;89.94;1.37;4.86;141.23;108.41;26.63;61.79;73.25
;;;;;-0.85;-3.18;-88.11;0.33;0.74;-88.22;-91.23;-200.17;-16.92;18.78
190;1;0.950;-0.950;-3.569;2.41;0.12;89.94;1.29;5.15;145.89;108.71;35.98;59.83;83.23
;;;;;-0.78;-2.77;-89.91;0.30;0.90;-94.92;-97.19;-191.65;-12.64;19.44
191;1;0.950;-1.050;-3.588;2.17;0.05;89.66;1.21;5.06;147.53;108.83;43.89;56.96;93.61
;;;;;-0.69;-2.38;-89.91;0.28;0.86;-153.19;-101.42;-182.58;-10.44;18.12
192;1;0.950;-1.150;-3.607;1.90;-0.14;86.51;1.13;4.84;176.81;112.42;49.52;53.23;104.37
;;;;;-0.59;-2.00;-89.56;0.22;1.13;-175.88;-103.45;-173.83;-8.99;19.56
193;1;0.950;-1.250;-3.626;1.64;-0.14;87.93;1.06;4.54;178.19;120.25;52.81;48.95;114.97
;;;;;-0.36;-1.66;-86.58;0.20;1.14;-176.25;-102.51;-166.23;-14.29;18.87
194;1;0.950;-1.350;-3.645;1.38;-0.13;87.14;1.03;4.21;175.22;126.80;53.92;44.57;125.02
;;;;;-0.31;-1.39;-83.37;0.16;0.91;-178.79;-98.14;-160.30;-27.05;18.09
195;1;0.950;-1.450;-3.664;1.14;-0.16;88.61;1.16;3.87;176.59;131.82;53.62;40.55;134.39
;;;;;-0.29;-1.52;-79.98;0.15;0.87;-173.88;-93.45;-156.77;-35.29;17.25
196;1;0.950;-1.550;-3.683;1.29;-0.19;89.98;1.28;3.75;179.08;134.59;52.12;43.45;142.68
;;;;;-0.27;-1.59;-90.00;0.14;0.86;-161.00;-87.14;-154.14;-39.84;19.86
197;1;0.950;-1.650;-3.702;1.53;-0.23;77.73;1.41;3.80;178.66;135.13;49.67;51.19;149.91
;;;;;-0.27;-1.64;-89.79;0.12;0.85;-173.57;-80.28;-164.69;-42.45;19.32
198;1;0.950;-1.750;-3.721;1.77;-0.27;79.69;1.55;3.67;176.66;132.66;46.51;59.30;155.60
;;;;;-0.30;-1.65;-87.79;0.13;0.84;-176.48;-73.47;-178.53;-43.99;16.94
199;1;0.950;-1.850;-3.740;2.01;-0.32;80.95;1.70;3.45;174.19;125.84;42.68;77.39;159.00
;;;;;-0.37;-1.60;-86.48;0.15;0.81;-179.55;-66.84;-192.15;-44.85;16.03
200;1;0.950;-1.950;-3.759;2.27;-0.36;82.65;1.86;3.24;175.10;120.77;38.26;74.28;159.69
;;;;;-0.43;-1.58;-85.35;0.17;0.67;-175.12;-60.54;-205.67;-89.16;15.12
201;1;1.050;-0.050;-3.422;4.10;-0.37;88.24;4.37;15.66;154.12;121.24;-48.64;55.50;129.24
;;;;;0.61;-5.18;-85.59;0.67;2.94;-143.42;-34.57;-240.61;-85.48;23.22
202;1;1.050;-0.150;-3.440;2.89;-0.28;88.59;3.99;15.10;167.67;109.87;-45.93;58.52;109.75
;;;;;0.71;-5.27;-84.48;0.49;1.45;-179.90;-40.79;-226.72;-84.00;22.19
203;1;1.050;-0.250;-3.459;2.80;-0.15;88.27;3.13;10.94;167.26;101.35;-36.79;60.34;104.81
;;;;;0.66;-4.90;-86.08;0.43;0.49;-176.08;-46.53;-219.16;-61.14;18.20
204;1;1.050;-0.350;-3.477;2.92;-0.06;87.36;2.55;7.46;167.44;93.85;-30.18;59.76;98.46
;;;;;0.39;-4.64;-88.41;0.37;0.53;-157.81;-53.16;-208.47;-55.45;15.49
205;1;1.050;-0.450;-3.495;2.86;0.22;86.35;2.08;4.93;176.19;88.40;-26.08;61.20;91.43
;;;;;-0.47;-4.20;-34.21;0.33;0.31;-178.03;-60.06;-200.77;-46.83;15.64
206;1;1.050;-0.550;-3.514;2.80;0.19;85.67;1.78;4.05;108.76;92.27;-21.87;62.32;83.16
;;;;;-0.58;-3.86;-39.57;0.30;0.38;-179.67;-67.84;-204.08;-38.87;15.22
207;1;1.050;-0.650;-3.532;2.68;0.21;88.45;1.51;4.40;127.76;96.19;-19.31;62.76;74.66
;;;;;-0.66;-3.48;-66.93;0.28;0.63;-70.93;-76.18;-203.49;-31.30;15.56
208;1;1.050;-0.750;-3.551;2.53;0.18;87.57;1.33;4.94;106.01;98.72;22.05;62.52;65.93
;;;;;-0.69;-3.11;-89.96;0.34;0.83;-79.71;-84.25;-199.46;-25.02;15.98
209;1;1.050;-0.850;-3.569;2.35;0.13;89.57;1.26;5.21;116.61;100.30;33.08;61.44;73.49
;;;;;-0.69;-2.74;-89.11;0.31;0.90;-84.68;-91.61;-192.96;-20.17;17.05
210;1;1.050;-0.950;-3.588;2.13;0.06;89.39;1.19;5.09;128.20;101.19;42.21;59.30;82.92
;;;;;-0.65;-2.36;-89.88;0.28;0.96;-85.68;-97.31;-184.53;-17.07;17.88
211;1;1.050;-1.050;-3.606;1.88;-0.08;89.74;1.10;4.85;133.52;108.08;49.32;56.02;92.43
;;;;;-0.61;-2.00;-89.64;0.25;0.98;-87.00;-101.66;-175.15;-13.63;16.11
212;1;1.050;-1.150;-3.625;1.64;-0.13;89.82;1.03;4.62;151.96;115.33;54.46;51.72;102.07
;;;;;-0.57;-1.67;-89.34;0.17;0.97;-116.46;-105.25;-165.99;-12.41;18.56
213;1;1.050;-1.250;-3.643;1.40;-0.13;85.06;1.01;4.24;162.27;121.63;57.41;46.74;111.91
;;;;;-0.43;-1.36;-89.99;0.18;1.11;-163.96;-105.87;-157.59;-10.52;18.02
214;1;1.050;-1.350;-3.661;1.16;-0.16;84.02;1.13;3.92;167.60;126.68;58.45;41.86;121.29
;;;;;-0.32;-1.36;-86.66;0.16;1.07;-165.58;-101.78;-150.95;-25.54;17.39
215;1;1.050;-1.450;-3.680;1.20;-0.19;85.38;1.25;3.72;179.62;130.11;57.97;37.52;129.96
;;;;;-0.31;-1.47;-83.06;0.13;0.87;-176.90;-96.19;-146.23;-37.21;16.70
216;1;1.050;-1.550;-3.698;1.42;-0.23;87.16;1.37;3.74;176.43;131.52;56.24;41.79;137.80
;;;;;-0.31;-1.57;-80.53;0.11;0.87;-159.46;-90.16;-144.07;-42.14;18.35
217;1;1.050;-1.650;-3.717;1.64;-0.27;88.55;1.51;3.68;174.04;130.56;53.66;47.13;144.61
;;;;;-0.33;-1.65;-79.64;0.12;0.85;-172.79;-83.40;-158.65;-44.44;17.66
218;1;1.050;-1.750;-3.735;1.87;-0.31;89.95;1.65;3.49;171.89;126.00;50.37;52.61;149.62
;;;;;-0.40;-1.68;-79.42;0.14;0.82;-179.02;-76.43;-173.23;-45.50;16.93
219;1;1.050;-1.850;-3.754;2.09;-0.35;89.34;1.80;3.27;175.18;116.83;46.50;57.91;152.34
;;;;;-0.46;-1.67;-89.89;0.16;0.79;-171.30;-69.63;-187.85;-45.91;16.20
220;1;1.050;-1.950;-3.772;2.32;-0.40;79.72;1.95;3.03;170.09;116.01;42.13;63.01;152.42
;;;;;-0.52;-1.73;-89.53;0.18;0.65;-177.98;-63.21;-202.58;-45.94;15.47
221;1;1.150;-0.050;-3.446;3.74;-0.33;89.02;3.89;13.14;149.37;127.74;-45.11;65.57;121.74
;;;;;0.57;-4.51;-83.18;0.43;2.00;-161.09;-28.79;-232.27;-77.19;21.46
222;1;1.150;-0.150;-3.464;2.55;-0.22;88.67;3.46;12.72;172.16;117.39;-43.50;50.47;104.87
;;;;;0.63;-4.49;-85.42;0.43;0.87;-178.30;-35.89;-219.24;-84.56;20.68
223;1;1.150;-0.250;-3.482;2.54;-0.13;87.92;2.76;9.34;171.99;109.52;-34.92;57.93;100.08
;;;;;0.62;-4.23;-87.20;0.37;0.78;-173.49;-42.69;-212.45;-59.63;17.01
224;1;1.150;-0.350;-3.500;2.58;-0.07;86.58;2.23;6.33;171.64;102.77;-29.72;57.02;94.67
;;;;;0.39;-3.92;-89.79;0.32;0.37;-144.88;-49.55;-203.24;-55.04;14.90
225;1;1.150;-0.450;-3.518;2.60;0.16;87.70;1.90;4.79;177.93;97.53;-24.90;59.49;87.81
;;;;;-0.21;-3.66;-31.86;0.30;0.36;-168.84;-57.36;-191.64;-48.36;16.01
226;1;1.150;-0.550;-3.535;2.53;0.17;86.41;1.64;4.69;146.01;95.18;-21.33;61.23;80.16
;;;;;-0.40;-3.33;-30.16;0.28;0.62;-63.52;-65.76;-196.32;-40.88;14.23
227;1;1.150;-0.650;-3.553;2.42;0.11;87.67;1.39;4.99;117.17;95.40;-18.57;62.20;71.78
;;;;;-0.47;-3.00;-63.48;0.26;0.79;-73.46;-74.22;-196.57;-34.39;14.73
228;1;1.150;-0.750;-3.571;2.26;0.09;89.19;1.24;5.23;104.49;96.86;28.11;62.29;65.28
;;;;;-0.51;-2.65;-88.39;0.31;0.88;-78.55;-82.25;-193.21;-28.70;14.95
229;1;1.150;-0.850;-3.589;2.07;0.11;89.64;1.17;5.15;98.89;100.67;38.97;61.30;73.69
;;;;;-0.54;-2.32;-86.54;0.29;0.95;-80.02;-88.27;-187.14;-24.07;15.63
230;1;1.150;-0.950;-3.607;1.86;-0.09;87.89;1.10;4.90;112.92;105.38;47.85;58.92;82.33
;;;;;-0.55;-1.98;-88.97;0.26;0.97;-80.12;-92.92;-178.84;-20.46;15.99
231;1;1.150;-1.050;-3.625;1.63;-0.11;87.82;1.02;4.65;120.74;111.04;54.67;54.95;91.14
;;;;;-0.35;-1.65;-88.37;0.23;0.99;-82.71;-99.39;-169.34;-17.94;15.62
232;1;1.150;-1.150;-3.642;1.42;-0.13;89.89;1.02;4.28;124.83;117.03;59.47;49.55;100.06
;;;;;-0.33;-1.37;-84.42;0.21;0.97;-86.16;-102.94;-159.86;-15.78;13.73
233;1;1.150;-1.250;-3.660;1.18;-0.16;89.40;1.09;3.92;161.45;121.74;61.85;43.39;108.53
;;;;;-0.33;-1.35;-89.66;0.13;0.91;-90.45;-104.25;-150.43;-13.14;13.75
234;1;1.150;-1.350;-3.678;1.15;-0.19;89.46;1.20;3.68;146.41;125.45;62.40;37.52;117.07
;;;;;-0.37;-1.37;-87.60;0.11;0.94;-179.84;-104.31;-142.61;-13.78;15.55
235;1;1.150;-1.450;-3.696;1.35;-0.22;82.12;1.32;3.69;170.62;127.69;61.48;36.20;125.21
;;;;;-0.34;-1.42;-86.79;0.12;1.04;-134.38;-97.18;-136.85;-41.12;16.35
236;1;1.150;-1.550;-3.714;1.56;-0.26;83.32;1.46;3.64;168.46;127.87;59.45;39.93;132.57
;;;;;-0.37;-1.54;-83.20;0.11;0.85;-159.35;-91.78;-137.27;-45.96;18.19
237;1;1.150;-1.650;-3.731;1.77;-0.31;84.60;1.60;3.48;167.06;125.13;56.61;43.84;138.62
;;;;;-0.42;-1.63;-82.47;0.13;0.82;-176.09;-85.16;-152.12;-47.26;17.62
238;1;1.150;-1.750;-3.749;1.98;-0.35;85.94;1.74;3.29;174.17;118.50;53.17;47.69;142.86
;;;;;-0.49;-1.67;-82.20;0.15;0.79;-164.83;-78.13;-167.22;-47.47;17.05
239;1;1.150;-1.850;-3.767;2.18;-0.39;87.24;1.88;3.07;167.85;109.78;49.27;51.25;144.86
;;;;;-0.55;-1.76;-82.18;0.17;0.64;-174.93;-71.23;-182.56;-47.22;16.48
240;1;1.150;-1.950;-3.785;2.39;-0.43;88.45;2.02;2.85;179.45;111.50;44.95;54.32;144.28
;;;;;-0.61;-1.84;-89.24;0.19;0.62;-144.30;-64.70;-198.21;-46.73;13.70
241;1;1.250;-0.050;-3.471;3.41;-0.24;89.42;3.47;11.76;151.56;134.44;-41.73;74.47;115.18
;;;;;0.53;-3.91;-84.37;0.38;1.88;-174.11;-23.02;-223.82;-69.59;19.86
242;1;1.250;-0.150;-3.488;2.29;-0.18;88.80;3.07;10.76;149.21;125.20;-41.31;46.00;99.89
;;;;;0.58;-3.93;-42.17;0.38;0.89;-174.99;-29.88;-211.07;-83.98;19.39
243;1;1.250;-0.250;-3.505;2.28;0.11;87.76;2.42;7.30;178.99;116.94;-34.52;57.94;95.68
;;;;;0.54;-3.60;-37.50;0.33;0.51;-150.62;-37.28;-205.57;-57.42;17.22
244;1;1.250;-0.350;-3.523;2.37;-0.08;89.34;2.05;5.26;140.72;110.46;-28.45;57.63;90.45
;;;;;0.50;-3.41;-89.64;0.30;0.31;-168.37;-45.19;-197.98;-55.07;14.77
245;1;1.250;-0.450;-3.540;2.35;0.10;86.60;1.77;4.86;164.87;105.85;-23.98;57.22;84.12
;;;;;0.37;-3.14;-31.39;0.28;0.51;-54.90;-53.55;-187.88;-49.53;14.61
246;1;1.250;-0.550;-3.557;2.28;0.11;84.07;1.53;5.02;130.15;103.41;-20.72;59.92;76.69
;;;;;0.26;-2.85;-30.84;0.26;0.72;-68.17;-62.08;-190.03;-42.75;13.25
247;1;1.250;-0.650;-3.574;2.16;0.11;86.81;1.32;5.22;113.69;103.02;20.94;61.73;68.35
;;;;;-0.27;-2.54;-57.93;0.24;0.84;-74.08;-70.45;-191.13;-37.21;13.87
248;1;1.250;-0.750;-3.591;2.00;0.09;87.04;1.17;5.17;104.68;103.74;33.54;62.46;66.04
;;;;;-0.30;-2.24;-88.97;0.22;0.90;-76.68;-78.26;-188.35;-32.18;14.24
249;1;1.250;-0.850;-3.609;1.82;-0.10;88.21;1.10;4.91;98.03;106.26;44.18;61.76;73.67
