Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
;;;;;-2.11;-7.17;-0.60;-3.02;-4.18;-76.54;-221.06;-30.64
145;1;0.750;-0.450;-3.429;0.26;3.84;0.57;6.43;0.60;25.14;86.18;87.06
;;;;;-1.61;-6.47;-0.45;-1.52;-4.29;-71.49;-227.63;-29.65
146;1;0.750;-0.550;-3.449;0.17;3.74;0.49;3.41;0.43;39.29;91.22;75.95
;;;;;-1.52;-5.78;-0.34;-0.66;-4.08;-69.35;-229.68;-27.99
147;1;0.750;-0.650;-3.470;0.19;3.67;0.44;1.86;0.47;51.14;94.22;66.03
;;;;;-1.45;-5.24;-0.27;-0.46;-3.89;-73.86;-228.12;-25.83
148;1;0.750;-0.750;-3.490;0.22;3.46;0.42;1.04;0.44;61.25;95.37;56.94
;;;;;-1.29;-4.64;-0.22;-0.34;-2.54;-78.98;-223.23;-23.88
149;1;0.750;-0.850;-3.510;0.21;3.28;0.42;1.03;1.70;71.05;95.54;48.21
;;;;;-1.14;-4.15;-0.19;-0.39;-2.85;-83.77;-216.73;-22.60
150;1;0.750;-0.950;-3.530;0.16;3.03;0.44;1.02;2.63;81.15;94.41;40.11
;;;;;-0.98;-3.64;-0.20;-0.80;-3.94;-88.50;-208.76;-20.41
151;1;0.750;-1.050;-3.551;0.07;2.75;0.46;0.98;3.18;91.61;92.29;37.86
;;;;;-0.93;-3.16;-0.27;-1.10;-4.70;-92.37;-199.65;-17.34
152;1;0.750;-1.150;-3.571;0.04;2.47;0.48;0.82;3.68;102.28;89.44;36.53
;;;;;-1.05;-2.71;-0.35;-1.29;-4.96;-95.49;-190.11;-16.05
153;1;0.750;-1.250;-3.591;0.03;2.17;0.47;0.93;4.01;112.74;86.02;36.00
;;;;;-1.17;-2.29;-0.43;-1.50;-4.87;-97.60;-180.35;-23.22
154;1;0.750;-1.350;-3.612;0.06;1.87;0.45;1.01;4.02;122.38;82.18;36.07
;;;;;-1.27;-1.90;-0.51;-1.59;-4.54;-98.91;-170.65;-29.85
155;1;0.750;-1.450;-3.632;0.24;1.60;0.41;1.02;3.96;130.49;78.11;36.55
;;;;;-1.33;-1.56;-0.59;-1.62;-4.19;-99.38;-161.41;-35.67
156;1;0.750;-1.550;-3.652;0.41;1.33;0.36;1.08;3.82;136.40;73.82;37.55
;;;;;-1.35;-1.26;-0.65;-1.69;-3.81;-98.90;-162.77;-40.78
157;1;0.750;-1.650;-3.673;0.57;1.29;0.31;1.10;3.73;139.27;69.39;38.97
;;;;;-1.32;-1.00;-0.68;-1.86;-3.49;-97.57;-173.45;-45.21
158;1;0.750;-1.750;-3.693;0.74;1.59;0.31;1.03;3.74;138.98;64.90;40.68
;;;;;-1.25;-0.78;-0.70;-2.30;-3.28;-95.88;-182.98;-48.74
159;1;0.750;-1.850;-3.713;0.92;1.88;0.30;0.93;3.66;134.65;60.35;43.25
;;;;;-1.38;-0.59;-0.70;-3.01;-3.02;-94.03;-191.17;-51.50
160;1;0.750;-1.950;-3.734;1.09;2.20;0.28;0.75;3.43;124.69;55.73;54.61
;;;;;-1.55;-0.50;-0.67;-3.87;-2.67;-91.75;-197.85;-53.91
161;1;0.850;-0.050;-3.372;4.57;3.24;1.69;18.49;23.97;27.08;103.59;142.53
;;;;;-2.82;-6.53;-1.19;-16.74;-16.03;-145.16;-176.50;-34.24
162;1;0.850;-0.150;-3.392;3.92;3.53;1.18;19.89;2.14;19.80;83.69;117.10
;;;;;-2.58;-7.30;-0.84;-8.04;-4.39;-111.84;-173.93;-37.46
163;1;0.850;-0.250;-3.412;1.93;3.46;0.89;15.36;1.36;14.57;68.36;104.14
;;;;;-1.69;-6.78;-0.63;-5.68;-3.90;-79.36;-189.39;-36.90
164;1;0.850;-0.350;-3.431;0.65;3.48;0.71;9.82;0.90;21.26;70.09;95.82
;;;;;-1.18;-6.18;-0.47;-3.24;-3.92;-74.52;-203.34;-35.79
165;1;0.850;-0.450;-3.451;0.24;3.46;0.59;6.06;0.62;34.62;79.78;86.52
;;;;;-1.01;-5.64;-0.35;-1.79;-3.69;-70.48;-211.24;-34.44
166;1;0.850;-0.550;-3.471;0.25;3.42;0.52;3.52;0.71;46.40;86.44;76.16
;;;;;-1.15;-5.12;-0.27;-0.78;-3.62;-74.58;-214.62;-32.58
167;1;0.850;-0.650;-3.490;0.29;3.24;0.49;1.92;0.38;56.47;90.41;66.68
;;;;;-1.15;-4.54;-0.21;-0.31;-2.45;-79.50;-213.76;-30.65
168;1;0.850;-0.750;-3.510;0.28;3.13;0.50;1.15;1.54;66.34;92.96;57.68
;;;;;-1.09;-4.12;-0.18;-0.13;-2.83;-84.72;-211.02;-29.06
169;1;0.850;-0.850;-3.530;0.24;2.92;0.53;1.16;2.44;76.18;93.80;48.66
;;;;;-1.00;-3.64;-0.17;-0.16;-3.98;-89.76;-205.65;-27.55
170;1;0.850;-0.950;-3.550;0.16;2.70;0.56;1.18;3.05;86.33;93.37;40.07
;;;;;-0.89;-3.20;-0.16;-0.48;-4.81;-94.18;-198.83;-26.06
171;1;0.850;-1.050;-3.569;0.07;2.44;0.60;1.20;3.54;96.67;91.88;35.10
;;;;;-0.92;-2.77;-0.17;-0.72;-5.11;-97.68;-190.93;-23.81
172;1;0.850;-1.150;-3.589;-0.03;2.17;0.62;1.10;3.87;107.05;89.50;33.85
;;;;;-1.07;-2.36;-0.24;-0.82;-5.01;-100.29;-182.34;-20.83
173;1;0.850;-1.250;-3.609;-0.03;1.89;0.63;0.91;3.97;116.78;86.46;33.28
;;;;;-1.21;-1.97;-0.32;-1.05;-4.73;-101.79;-173.45;-17.08
174;1;0.850;-1.350;-3.628;0.04;1.62;0.61;0.93;3.94;125.27;82.95;33.31
;;;;;-1.32;-1.61;-0.40;-1.21;-4.38;-102.17;-164.57;-23.32
175;1;0.850;-1.450;-3.648;0.20;1.36;0.59;0.98;3.86;132.12;79.19;33.77
;;;;;-1.41;-1.31;-0.47;-1.30;-4.02;-101.86;-156.13;-29.06
176;1;0.850;-1.550;-3.668;0.35;1.11;0.54;1.01;3.72;136.56;75.17;34.68
;;;;;-1.44;-1.05;-0.52;-1.37;-3.65;-100.55;-157.24;-34.16
177;1;0.850;-1.650;-3.687;0.50;1.33;0.48;1.02;3.76;138.32;70.99;35.97
;;;;;-1.43;-0.82;-0.56;-1.45;-3.41;-98.77;-169.85;-38.52
178;1;0.850;-1.750;-3.707;0.65;1.62;0.42;0.96;3.73;136.89;66.73;37.54
;;;;;-1.40;-0.62;-0.59;-1.81;-3.16;-96.68;-181.63;-42.13
179;1;0.850;-1.850;-3.727;0.83;1.91;0.35;0.90;3.57;130.94;62.39;39.51
;;;;;-1.38;-0.47;-0.60;-2.47;-2.84;-94.17;-192.40;-45.33
180;1;0.850;-1.950;-3.746;1.00;2.20;0.28;0.82;3.32;118.87;57.96;42.73
;;;;;-1.54;-0.57;-0.58;-3.25;-2.47;-91.13;-201.75;-47.88
181;1;0.950;-0.050;-3.397;4.27;2.95;1.48;11.94;19.47;24.52;104.63;136.52
;;;;;-2.24;-5.87;-1.31;-8.77;-14.01;-127.81;-167.82;-41.38
182;1;0.950;-0.150;-3.416;3.25;3.09;1.18;17.51;1.82;17.40;86.68;109.54
;;;;;-1.88;-6.16;-0.95;-7.64;-4.72;-94.67;-166.50;-43.50
183;1;0.950;-0.250;-3.435;1.57;3.01;0.94;12.91;1.20;20.20;72.83;100.72
;;;;;-1.15;-5.73;-0.65;-5.23;-4.03;-77.95;-170.94;-42.35
184;1;0.950;-0.350;-3.454;0.58;3.08;0.77;8.45;1.06;29.56;59.41;93.06
;;;;;-0.78;-5.30;-0.49;-3.17;-3.59;-73.18;-186.55;-40.91
185;1;0.950;-0.450;-3.473;0.25;3.11;0.65;5.57;1.12;41.42;71.21;84.27
;;;;;-0.70;-4.92;-0.38;-1.87;-3.48;-73.93;-195.60;-39.27
186;1;0.950;-0.550;-3.492;0.28;3.00;0.54;3.43;0.44;50.98;79.26;75.10
;;;;;-0.85;-4.38;-0.30;-1.08;-2.32;-78.67;-199.67;-37.56
187;1;0.950;-0.650;-3.511;0.31;2.92;0.53;2.13;1.42;60.45;85.01;65.69
;;;;;-0.91;-4.01;-0.23;-0.69;-2.79;-84.08;-200.76;-35.81
188;1;0.950;-0.750;-3.530;0.28;2.78;0.57;1.41;2.21;70.14;88.46;56.85
;;;;;-0.90;-3.59;-0.17;-0.41;-3.92;-89.74;-198.94;-34.82
189;1;0.950;-0.850;-3.550;0.23;2.59;0.62;1.32;2.80;79.85;90.14;47.68
;;;;;-0.85;-3.18;-0.16;-0.18;-4.81;-94.60;-194.61;-33.88
190;1;0.950;-0.950;-3.569;0.15;2.37;0.68;1.35;3.34;89.76;90.34;38.43
;;;;;-0.78;-2.77;-0.16;-0.18;-5.14;-98.64;-188.65;-32.57
191;1;0.950;-1.050;-3.588;0.06;2.13;0.72;1.37;3.67;99.75;89.38;30.82
;;;;;-0.91;-2.38;-0.15;-0.26;-5.06;-101.70;-181.58;-31.12
192;1;0.950;-1.150;-3.607;-0.05;1.88;0.75;1.33;3.85;109.24;87.49;29.64
;;;;;-1.07;-2.00;-0.15;-0.38;-4.83;-103.59;-173.80;-29.07
193;1;0.950;-1.250;-3.626;-0.06;1.62;0.77;1.17;3.87;117.92;84.89;29.11
;;;;;-1.22;-1.66;-0.21;-0.64;-4.51;-104.46;-165.70;-26.21
194;1;0.950;-1.350;-3.645;-0.05;1.37;0.77;0.93;3.84;125.28;81.76;29.17
;;;;;-1.34;-1.33;-0.29;-0.85;-4.17;-104.15;-157.56;-22.42
195;1;0.950;-1.450;-3.664;0.17;1.13;0.75;0.90;3.74;131.01;78.33;29.62
;;;;;-1.44;-1.08;-0.35;-0.98;-3.80;-103.24;-149.81;-22.24
196;1;0.950;-1.550;-3.683;0.31;1.07;0.71;0.94;3.70;134.32;74.60;30.51
;;;;;-1.50;-0.85;-0.41;-1.10;-3.50;-101.43;-150.51;-27.34
197;1;0.950;-1.650;-3.702;0.44;1.36;0.67;0.94;3.75;135.12;70.71;31.71
;;;;;-1.52;-0.65;-0.45;-1.22;-3.26;-99.15;-164.69;-31.82
198;1;0.950;-1.750;-3.721;0.59;1.64;0.62;0.93;3.63;132.49;66.68;33.37
;;;;;-1.52;-0.47;-0.49;-1.34;-2.94;-96.49;-178.35;-35.77
199;1;0.950;-1.850;-3.740;0.74;1.92;0.56;0.92;3.41;124.83;62.53;35.34
;;;;;-1.47;-0.54;-0.50;-1.92;-2.58;-93.31;-191.15;-38.99
200;1;0.950;-1.950;-3.759;0.90;2.20;0.50;0.87;3.17;110.88;58.28;37.59
;;;;;-1.53;-0.63;-0.49;-2.64;-2.23;-89.65;-202.83;-41.48
201;1;1.050;-0.050;-3.422;3.92;2.62;1.38;7.81;15.66;21.38;105.56;129.24
;;;;;-1.82;-5.17;-1.40;-4.87;-12.00;-111.95;-159.08;-47.69
202;1;1.050;-0.150;-3.440;2.76;2.64;1.16;15.00;2.76;20.12;89.28;102.81
;;;;;-1.39;-5.26;-1.05;-6.76;-4.89;-81.19;-160.80;-48.70
203;1;1.050;-0.250;-3.459;1.35;2.59;0.96;10.88;1.92;25.51;76.79;96.70
;;;;;-0.81;-4.82;-0.76;-4.70;-3.96;-76.88;-160.62;-47.17
204;1;1.050;-0.350;-3.477;0.56;2.73;0.81;7.39;1.72;36.97;63.83;89.32
;;;;;-0.55;-4.57;-0.58;-2.95;-3.58;-71.99;-170.41;-45.45
205;1;1.050;-0.450;-3.495;0.24;2.70;0.68;4.93;0.52;46.25;61.08;81.52
;;;;;-0.48;-4.15;-0.45;-1.92;-2.42;-76.31;-180.36;-43.92
206;1;1.050;-0.550;-3.514;0.27;2.67;0.60;3.23;1.27;54.85;71.10;72.74
;;;;;-0.60;-3.82;-0.37;-1.30;-2.75;-81.89;-186.21;-42.33
207;1;1.050;-0.650;-3.532;0.28;2.57;0.56;2.29;1.99;63.85;77.96;63.91
;;;;;-0.68;-3.45;-0.29;-0.88;-3.81;-88.00;-188.20;-41.13
208;1;1.050;-0.750;-3.551;0.25;2.44;0.63;1.68;2.47;72.94;82.40;54.73
;;;;;-0.71;-3.09;-0.22;-0.61;-4.69;-93.55;-187.10;-40.66
209;1;1.050;-0.850;-3.569;0.19;2.26;0.71;1.43;3.15;82.18;84.94;45.41
;;;;;-0.70;-2.72;-0.16;-0.36;-5.10;-98.21;-183.74;-40.40
210;1;1.050;-0.950;-3.588;0.11;2.06;0.78;1.53;3.50;91.62;85.82;35.71
;;;;;-0.71;-2.36;-0.15;-0.15;-5.05;-101.88;-178.51;-39.83
211;1;1.050;-1.050;-3.606;-0.07;1.83;0.83;1.54;3.67;100.63;85.38;25.88
;;;;;-0.87;-2.00;-0.15;-0.21;-4.84;-104.24;-172.04;-38.85
212;1;1.050;-1.150;-3.625;-0.08;1.60;0.87;1.54;3.83;109.20;84.01;24.28
;;;;;-1.04;-1.67;-0.15;-0.27;-4.62;-105.68;-165.04;-37.66
213;1;1.050;-1.250;-3.643;-0.09;1.37;0.90;1.40;3.73;116.74;81.83;23.87
;;;;;-1.20;-1.35;-0.14;-0.35;-4.24;-105.92;-157.58;-35.60
214;1;1.050;-1.350;-3.661;-0.09;1.14;0.90;1.22;3.72;122.97;79.12;23.96
;;;;;-1.33;-1.10;-0.19;-0.53;-3.91;-105.09;-150.16;-32.64
215;1;1.050;-1.450;-3.680;0.17;0.91;0.89;0.92;3.67;127.53;76.01;24.43
;;;;;-1.43;-0.87;-0.25;-0.70;-3.59;-103.45;-142.94;-28.71
216;1;1.050;-1.550;-3.698;0.28;1.10;0.87;0.84;3.70;130.01;72.58;25.33
;;;;;-1.52;-0.67;-0.30;-0.85;-3.32;-101.15;-142.55;-23.41
217;1;1.050;-1.650;-3.717;0.41;1.38;0.85;0.87;3.64;129.94;68.96;26.66
;;;;;-1.58;-0.49;-0.35;-1.00;-3.01;-98.42;-158.02;-25.73
218;1;1.050;-1.750;-3.735;0.53;1.66;0.81;0.92;3.44;125.93;65.16;28.28
;;;;;-1.60;-0.51;-0.39;-1.13;-2.65;-95.14;-173.16;-29.31
219;1;1.050;-1.850;-3.754;0.67;1.93;0.76;0.92;3.22;116.73;61.22;30.17
;;;;;-1.57;-0.61;-0.41;-1.36;-2.29;-91.35;-187.75;-32.51
220;1;1.050;-1.950;-3.772;0.81;2.19;0.71;0.90;2.99;103.13;57.15;32.32
;;;;;-1.61;-0.70;-0.40;-2.04;-2.27;-87.14;-201.51;-34.96
221;1;1.150;-0.050;-3.446;3.55;2.32;1.30;7.00;12.66;21.34;106.25;121.01
;;;;;-1.52;-4.50;-1.45;-4.58;-10.16;-97.18;-149.67;-52.89
222;1;1.150;-0.150;-3.464;2.39;2.24;1.13;12.58;3.81;25.73;91.86;98.37
;;;;;-1.05;-4.49;-1.13;-5.64;-4.88;-80.20;-155.16;-53.00
223;1;1.150;-0.250;-3.482;1.23;2.25;0.97;9.12;2.87;33.13;80.35;92.20
;;;;;-0.59;-4.10;-0.85;-3.95;-4.11;-75.62;-156.06;-51.04
224;1;1.150;-0.350;-3.500;0.56;2.34;0.82;6.30;1.01;41.84;68.59;85.66
;;;;;-0.39;-3.82;-0.65;-2.75;-2.71;-71.92;-154.73;-49.46
225;1;1.150;-0.450;-3.518;0.26;2.39;0.74;4.36;1.10;49.81;56.57;78.03
;;;;;-0.38;-3.58;-0.54;-2.00;-2.74;-78.19;-166.57;-47.95
226;1;1.150;-0.550;-3.535;0.23;2.35;0.68;3.14;1.75;57.80;62.02;69.98
;;;;;-0.41;-3.27;-0.44;-1.39;-3.55;-84.78;-173.51;-46.93
227;1;1.150;-0.650;-3.553;0.22;2.25;0.63;2.37;2.16;66.15;70.04;61.20
;;;;;-0.48;-2.95;-0.36;-0.99;-4.49;-91.03;-176.25;-46.20
228;1;1.150;-0.750;-3.571;0.19;2.11;0.68;1.82;2.90;74.60;75.43;51.78
;;;;;-0.52;-2.62;-0.29;-0.68;-4.95;-96.39;-175.87;-46.35
229;1;1.150;-0.850;-3.589;0.14;1.95;0.78;1.53;3.30;83.21;78.73;42.20
;;;;;-0.55;-2.29;-0.22;-0.40;-4.99;-100.74;-173.19;-46.76
230;1;1.150;-0.950;-3.607;0.09;1.75;0.86;1.65;3.50;91.59;80.27;32.05
;;;;;-0.65;-1.96;-0.16;-0.15;-4.81;-103.77;-168.62;-46.90
231;1;1.150;-1.050;-3.625;-0.10;1.55;0.93;1.69;3.65;99.53;80.46;21.62
;;;;;-0.82;-1.65;-0.15;-0.17;-4.60;-105.89;-162.84;-46.72
232;1;1.150;-1.150;-3.642;-0.11;1.35;0.98;1.70;3.64;107.04;79.64;18.24
;;;;;-0.99;-1.36;-0.14;-0.23;-4.27;-106.81;-156.59;-46.16
233;1;1.150;-1.250;-3.660;-0.12;1.12;1.00;1.66;3.60;113.23;77.82;17.87
;;;;;-1.14;-1.10;-0.14;-0.29;-3.92;-106.16;-149.56;-44.89
234;1;1.150;-1.350;-3.678;-0.12;0.91;1.02;1.49;3.65;118.42;75.43;17.94
;;;;;-1.27;-0.87;-0.16;-0.35;-3.65;-104.69;-142.61;-42.78
235;1;1.150;-1.450;-3.696;0.18;0.85;1.03;1.25;3.66;122.22;72.65;18.51
;;;;;-1.40;-0.67;-0.17;-0.43;-3.37;-102.60;-135.93;-39.55
236;1;1.150;-1.550;-3.714;0.28;1.13;1.03;0.95;3.60;124.01;69.54;19.52
;;;;;-1.51;-0.49;-0.22;-0.62;-3.05;-99.90;-133.41;-34.87
237;1;1.150;-1.650;-3.731;0.38;1.40;1.02;0.84;3.43;122.80;66.16;20.84
;;;;;-1.59;-0.48;-0.26;-0.79;-2.69;-96.60;-149.80;-34.88
238;1;1.150;-1.750;-3.749;0.49;1.67;0.99;0.89;3.24;117.50;62.59;22.42
;;;;;-1.63;-0.58;-0.30;-0.95;-2.33;-92.73;-166.22;-38.98
239;1;1.150;-1.850;-3.767;0.60;1.93;0.95;0.91;3.02;107.02;58.85;24.26
;;;;;-1.62;-0.67;-0.32;-1.09;-1.99;-88.42;-182.43;-41.07
240;1;1.150;-1.950;-3.785;0.73;2.18;0.90;0.92;2.80;102.72;54.95;26.35
;;;;;-1.64;-0.76;-0.32;-1.46;-2.34;-83.76;-198.06;-40.66
241;1;1.250;-0.050;-3.471;3.17;2.02;1.22;9.14;10.06;27.40;106.37;112.37
;;;;;-1.24;-3.90;-1.45;-4.21;-8.49;-83.87;-139.10;-56.74
242;1;1.250;-0.150;-3.488;2.11;1.95;1.12;10.69;4.64;30.47;94.33;93.82
;;;;;-0.84;-3.92;-1.18;-4.30;-4.84;-78.88;-149.01;-56.23
243;1;1.250;-0.250;-3.505;1.12;1.93;0.96;7.20;2.10;38.34;83.86;88.00
;;;;;-0.43;-3.42;-0.90;-3.19;-3.28;-74.10;-151.21;-54.13
244;1;1.250;-0.350;-3.523;0.68;2.06;0.88;5.12;0.93;45.46;73.43;81.59
;;;;;-0.31;-3.27;-0.74;-2.45;-2.45;-72.72;-150.28;-52.53
245;1;1.250;-0.450;-3.540;0.45;2.08;0.81;3.89;1.45;52.55;62.34;74.61
;;;;;-0.33;-3.03;-0.62;-1.84;-3.49;-80.01;-153.68;-51.55
246;1;1.250;-0.550;-3.557;0.32;2.04;0.75;3.00;1.84;59.74;52.52;66.78
;;;;;-0.37;-2.77;-0.51;-1.36;-4.15;-87.00;-161.48;-51.02
247;1;1.250;-0.650;-3.574;0.23;1.94;0.70;2.43;2.60;67.29;61.60;57.99
;;;;;-0.41;-2.47;-0.42;-1.03;-4.73;-93.19;-164.96;-50.82
248;1;1.250;-0.750;-3.591;0.15;1.81;0.72;1.98;3.06;74.88;67.90;48.31
;;;;;-0.46;-2.18;-0.34;-0.72;-4.86;-98.19;-165.26;-51.54
249;1;1.250;-0.850;-3.609;0.12;1.65;0.83;1.60;3.28;82.52;71.93;39.86
;;;;;-0.50;-1.88;-0.27;-0.42;-4.71;-102.19;-163.16;-52.58
250;1;1.250;-0.950;-3.626;0.07;1.47;0.92;1.75;3.43;89.76;74.11;33.14
;;;;;-0.58;-1.59;-0.21;-0.15;-4.49;-104.93;-159.20;-53.38
251;1;1.250;-1.050;-3.643;-0.09;1.28;1.00;1.85;3.52;96.60;74.82;26.13
;;;;;-0.74;-1.31;-0.15;-0.13;-4.23;-106.33;-153.98;-53.97
252;1;1.250;-1.150;-3.660;-0.14;1.08;1.05;1.83;3.45;102.69;74.39;19.14
;;;;;-0.90;-1.08;-0.14;-0.19;-3.90;-106.35;-148.10;-54.15
253;1;1.250;-1.250;-3.677;-0.14;0.89;1.09;1.80;3.58;107.94;73.08;12.93
;;;;;-1.05;-0.86;-0.14;-0.24;-3.68;-105.20;-141.74;-53.59
254;1;1.250;-1.350;-3.695;-0.15;0.70;1.13;1.71;3.63;112.41;71.12;12.99
;;;;;-1.20;-0.67;-0.16;-0.30;-3.41;-103.40;-135.36;-52.24
255;1;1.250;-1.450;-3.712;0.21;0.89;1.16;1.54;3.55;115.47;68.65;13.36
;;;;;-1.35;-0.49;-0.17;-0.35;-3.07;-100.89;-129.15;-49.67
256;1;1.250;-1.550;-3.729;0.28;1.16;1.17;1.29;3.41;116.27;65.81;13.99
;;;;;-1.47;-0.47;-0.19;-0.43;-2.71;-97.66;-123.23;-45.61
257;1;1.250;-1.650;-3.746;0.36;1.42;1.17;0.96;3.23;113.96;62.67;14.84
;;;;;-1.56;-0.55;-0.19;-0.59;-2.35;-93.79;-140.10;-43.89
258;1;1.250;-1.750;-3.763;0.45;1.68;1.16;0.85;3.03;107.57;59.32;16.03
;;;;;-1.62;-0.65;-0.22;-0.77;-2.01;-89.43;-157.67;-48.79
259;1;1.250;-1.850;-3.780;0.55;1.93;1.12;0.89;2.82;100.64;55.78;17.85
;;;;;-1.62;-0.74;-0.25;-0.93;-2.00;-84.69;-175.33;-51.62
260;1;1.250;-1.950;-3.798;0.65;2.17;1.07;0.91;2.60;101.42;52.06;19.91
;;;;;-1.62;-0.83;-0.25;-1.08;-2.41;-79.66;-192.72;-51.79
261;1;1.350;-0.050;-3.496;2.66;1.65;1.08;10.40;7.21;31.59;107.82;103.38
;;;;;-0.95;-3.18;-1.34;-4.43;-6.77;-81.17;-140.96;-58.93
262;1;1.350;-0.150;-3.512;1.86;1.64;1.07;9.14;2.97;36.16;96.95;89.37
;;;;;-0.66;-3.27;-1.17;-3.97;-3.98;-77.09;-142.28;-58.29
263;1;1.350;-0.250;-3.529;1.21;1.72;1.01;5.79;0.89;42.09;87.71;83.44
;;;;;-0.38;-2.94;-0.98;-2.82;-2.08;-73.38;-146.27;-55.97
264;1;1.350;-0.350;-3.545;0.87;1.82;0.94;4.22;1.22;48.20;78.38;77.87
;;;;;-0.26;-2.79;-0.83;-2.02;-3.12;-73.83;-146.83;-55.04
265;1;1.350;-0.450;-3.562;0.68;1.82;0.88;3.34;1.51;54.36;68.18;71.13
;;;;;-0.31;-2.56;-0.69;-1.57;-3.89;-81.62;-143.45;-54.52
266;1;1.350;-0.550;-3.579;0.57;1.76;0.83;2.80;2.21;60.70;57.59;63.37
;;;;;-0.36;-2.32;-0.58;-1.24;-4.38;-88.76;-150.33;-54.47
267;1;1.350;-0.650;-3.595;0.48;1.65;0.77;2.33;2.78;67.31;53.19;54.72
;;;;;-0.41;-2.05;-0.48;-0.89;-4.62;-94.65;-154.53;-54.77
268;1;1.350;-0.750;-3.612;0.40;1.51;0.73;1.99;3.03;73.87;60.23;50.01
;;;;;-0.46;-1.78;-0.39;-0.61;-4.53;-99.39;-155.36;-56.00
269;1;1.350;-0.850;-3.628;0.31;1.36;0.85;1.69;3.21;80.28;64.92;44.26
;;;;;-0.51;-1.51;-0.31;-0.36;-4.35;-102.78;-153.79;-57.58
270;1;1.350;-0.950;-3.645;0.22;1.19;0.96;1.78;3.32;86.30;67.68;37.77
;;;;;-0.55;-1.25;-0.24;-0.15;-4.14;-104.92;-150.37;-59.03
271;1;1.350;-1.050;-3.661;0.16;1.02;1.04;1.91;3.37;91.92;68.93;30.95
;;;;;-0.63;-1.04;-0.18;-0.08;-3.88;-105.61;-145.74;-60.30
272;1;1.350;-1.150;-3.678;0.16;0.85;1.11;1.96;3.44;96.89;68.93;24.03
;;;;;-0.79;-0.83;-0.14;0.15;-3.63;-105.00;-140.25;-61.19
273;1;1.350;-1.250;-3.695;0.17;0.67;1.17;1.96;3.54;101.42;68.04;17.36
;;;;;-0.95;-0.65;-0.14;-0.20;-3.40;-103.54;-134.45;-61.42
274;1;1.350;-1.350;-3.711;0.20;0.66;1.23;1.90;3.50;105.14;66.43;12.26
;;;;;-1.11;-0.48;-0.16;-0.25;-3.08;-101.33;-128.53;-60.68
275;1;1.350;-1.450;-3.728;0.25;0.93;1.27;1.79;3.36;107.23;64.27;12.31
;;;;;-1.26;-0.47;-0.18;-0.31;-2.72;-98.29;-122.72;-58.81
276;1;1.350;-1.550;-3.744;0.30;1.19;1.30;1.59;3.20;107.02;61.69;12.28
;;;;;-1.39;-0.52;-0.19;-0.39;-2.36;-94.53;-117.18;-55.33
277;1;1.350;-1.650;-3.761;0.36;1.44;1.31;1.31;3.02;103.72;58.80;12.12
;;;;;-1.50;-0.62;-0.20;-0.47;-2.01;-90.19;-128.99;-52.44
278;1;1.350;-1.750;-3.777;0.42;1.69;1.30;0.95;2.83;97.29;55.67;12.13
;;;;;-1.56;-0.71;-0.21;-0.58;-1.84;-85.42;-147.58;-58.03
279;1;1.350;-1.850;-3.794;0.50;1.93;1.28;0.85;2.61;98.62;52.32;13.07
;;;;;-1.59;-0.80;-0.21;-0.76;-2.16;-80.32;-166.58;-61.42
280;1;1.350;-1.950;-3.810;0.58;2.16;1.24;0.89;2.39;99.35;48.78;14.51
;;;;;-1.56;-0.89;-0.20;-0.93;-2.48;-74.99;-185.64;-62.10
281;1;1.450;-0.050;-3.520;2.44;1.33;0.99;8.75;3.26;34.60;108.97;95.00
;;;;;-0.74;-2.54;-1.25;-4.43;-4.37;-78.28;-145.35;-60.20
282;1;1.450;-0.150;-3.536;1.91;1.36;1.08;8.15;1.44;40.03;99.14;84.84
;;;;;-0.57;-2.70;-1.19;-3.59;-3.17;-75.76;-134.01;-59.15
283;1;1.450;-0.250;-3.552;1.37;1.52;1.05;5.09;1.05;44.70;91.51;79.68
;;;;;-0.36;-2.48;-1.04;-2.44;-2.58;-73.20;-140.64;-57.38
284;1;1.450;-0.350;-3.568;1.10;1.61;1.01;3.73;1.24;50.04;83.40;74.44
;;;;;-0.26;-2.37;-0.89;-1.78;-3.62;-75.12;-142.72;-56.86
285;1;1.450;-0.450;-3.584;0.95;1.59;0.95;2.91;1.76;55.45;74.21;67.81
;;;;;-0.29;-2.17;-0.76;-1.30;-4.09;-83.33;-140.35;-56.75
286;1;1.450;-0.550;-3.600;0.85;1.51;0.89;2.55;2.41;60.79;64.52;61.15
;;;;;-0.35;-1.93;-0.64;-1.02;-4.30;-90.32;-140.03;-57.10
287;1;1.450;-0.650;-3.616;0.76;1.39;0.83;2.26;2.75;66.21;54.36;58.13
;;;;;-0.41;-1.68;-0.53;-0.75;-4.31;-95.68;-144.90;-57.80
288;1;1.450;-0.750;-3.632;0.68;1.26;0.76;1.95;2.99;71.59;52.82;53.58
;;;;;-0.47;-1.43;-0.43;-0.49;-4.17;-99.89;-146.31;-59.50
289;1;1.450;-0.850;-3.648;0.58;1.11;0.86;1.72;3.11;76.74;58.11;47.98
;;;;;-0.51;-1.19;-0.34;-0.28;-3.98;-102.60;-145.26;-61.57
290;1;1.450;-0.950;-3.664;0.48;0.96;0.98;1.79;3.23;81.55;61.39;41.68
;;;;;-0.56;-0.99;-0.27;0.13;-3.76;-103.99;-142.36;-63.59
